collectivite_id,nom,siren,departement_code,region_code,etoiles_cae,etoiles_eci,nom_epci,departement,nature_juridique,regime_fiscal,population_dgf,population_insee,revenu,potentiel_fiscal,potentiel_fiscal_hab,cif
4693,Grand Longwy Agglomération,245400262,54,44,1,0,GRAND LONGWY AGGLOMERATION,54,CA,FPU,65138.0,64671.0,970431131.0,18187918.0,279.221315,0.39054
4026,CA Rochefort Océan,200041762,17,75,1,1,CA ROCHEFORT OCEAN,17,CA,FPU,71720.0,66296.0,1086980671.0,26253463.0,366.054978,0.466417
4520,CC de Forez-Est,200065894,42,84,1,0,CC FOREZ-EST,42,CC,FPU,67317.0,66011.0,1068646041.0,32299236.0,479.808013,0.367914
3851,CA Moulins Communauté,200071140,3,84,1,0,CA MOULINS COMMUNAUTÉ,03,CA,FPU,67849.0,66443.0,999008790.0,28584414.0,421.294551,0.395749
4099,CA Lamballe Terre et Mer,200069391,22,53,1,0,LAMBALLE TERRE ET MER,22,CA,FPU,79950.0,70807.0,1213246894.0,25992407.0,325.10828,0.484238
4015,CA du Grand Cognac,200070514,16,75,1,0,CA DU GRAND COGNAC,16,CA,FPU,72270.0,70675.0,1274842675.0,50514697.0,698.971869,0.475464
3984,CA Lisieux Normandie,200069532,14,28,1,0,CA LISIEUX NORMANDIE,14,CA,FPU,77674.0,74504.0,1101482164.0,29344706.0,377.793161,0.406831
4402,CA Châteauroux Métropole,243600327,36,24,1,0,CHÂTEAUROUX MÉTROPOLE,36,CA,FPU,75996.0,74939.0,1142438809.0,46118785.0,606.858058,0.346131
5220,CA Gaillac-Graulhet,200066124,81,76,1,1,COMMUNAUTÉ D’AGGLOMÉRATION GAILLAC GRAULHET,81,CA,FPU,80099.0,77839.0,1177877042.0,26916137.0,336.035868,0.68345
5189,CA du Bocage Bressuirais,200040244,79,75,1,0,CA DU BOCAGE BRESSUIRAIS,79,CA,FPU,77793.0,76438.0,1071536871.0,30744811.0,395.213078,0.457005
4256,CA du Gard Rhodanien,200034692,30,76,1,0,CA DU GARD RHODANIEN,30,CA,FPU,80614.0,77457.0,1222233576.0,28106899.0,348.66027,0.34531
4968,CA Saint-Louis Agglomération,200066058,68,44,1,0,CA SAINT-LOUIS AGGLOMERATION,68,CA,FPU,86902.0,85533.0,2376868149.0,49069469.0,564.652931,0.359119
5222,CA de l'Albigeois (C2A),248100737,81,76,1,2,CA DE L'ALBIGEOIS,81,CA,FPU,87994.0,86445.0,1386278884.0,41682827.0,473.700786,0.514661
4528,CA du Puy-en-Velay,200073419,43,84,1,0,CA DU PUY EN VELAY,43,CA,FPU,91291.0,85454.0,1326480116.0,37457821.0,410.312309,0.510654
3852,CA Vichy Communauté,200071363,3,84,1,0,CA VICHY COMMUNAUTÉ,03,CA,FPU,90813.0,86487.0,1380210282.0,43600634.0,480.114455,0.45256
4232,CA du Pays Ajaccien,242010056,2A,94,1,0,CA DU PAYS AJACCIEN,2A,CA,FPU,98869.0,93902.0,1501667258.0,44630171.0,451.407125,0.46562
4040,CA Bourges Plus,241800507,18,24,1,0,CA BOURGES PLUS,18,CA,FPU,106682.0,105152.0,1739997320.0,59096982.0,553.954575,0.375525
4810,CA du Beauvaisis,200067999,60,32,1,0,CA DU BEAUVAISIS,60,CA,FPU,106788.0,105791.0,1561344647.0,68305197.0,639.633639,0.37963
